200, 446594, 169
210, 495180, 179
220, 583037, 189
230, 651075, 196
240, 741599, 203
250, 829613, 218
260, 989469, 220
270, 1.12661e+06, 255
280, 1.17662e+06, 236
290, 1.2962e+06, 247
300, 1.60685e+06, 307
310, 1.68233e+06, 255
320, 1.73935e+06, 261
330, 1.87958e+06, 268
340, 2.0643e+06, 350
350, 2.25146e+06, 284
360, 2.43381e+06, 296
370, 2.6548e+06, 300
380, 2.86581e+06, 310
390, 3.09541e+06, 318
400, 3.32151e+06, 327
410, 3.57518e+06, 339
420, 3.84368e+06, 343
430, 4.11846e+06, 349
440, 4.40836e+06, 356
450, 4.71824e+06, 375
460, 5.03728e+06, 374
470, 5.37197e+06, 382
480, 5.72157e+06, 390
490, 6.08208e+06, 397
500, 6.46649e+06, 404
510, 6.85823e+06, 420
520, 7.26229e+06, 422
530, 7.68942e+06, 429
540, 8.13047e+06, 450
550, 8.60733e+06, 465
560, 9.07604e+06, 457
570, 9.55882e+06, 462
580, 1.00766e+07, 472
590, 1.05868e+07, 480
600, 1.11344e+07, 487
610, 1.17141e+07, 502
620, 1.22909e+07, 503
630, 1.2898e+07, 513
640, 1.34913e+07, 518
650, 1.41531e+07, 526
660, 1.48325e+07, 549
670, 1.55337e+07, 561
680, 1.61828e+07, 557
690, 1.69152e+07, 560
700, 1.76599e+07, 566
710, 1.84413e+07, 577
720, 1.9216e+07, 584
730, 2.00615e+07, 590
740, 2.13657e+07, 602
750, 2.22459e+07, 617
760, 2.25845e+07, 618
770, 2.34658e+07, 622
780, 2.44239e+07, 637
790, 2.53793e+07, 645
800, 2.6363e+07, 659
810, 2.73454e+07, 663
820, 2.84253e+07, 667
830, 2.94529e+07, 675
840, 3.05449e+07, 680
850, 3.16221e+07, 691
860, 3.28348e+07, 702
870, 3.38946e+07, 710
880, 3.50959e+07, 715
890, 3.63e+07, 721
900, 3.74969e+07, 737
910, 3.8443e+07, 738
920, 3.97404e+07, 745
930, 4.10275e+07, 750
940, 4.23661e+07, 764
950, 4.37451e+07, 768
960, 4.50989e+07, 776
970, 4.65762e+07, 785
980, 4.80439e+07, 792
990, 4.96256e+07, 798
1000, 5.10221e+07, 812
1010, 5.26025e+07, 817
1020, 5.41778e+07, 827
1030, 5.58285e+07, 843
1040, 5.74817e+07, 840
1050, 5.91415e+07, 847
1060, 6.08514e+07, 857
1070, 6.25559e+07, 865
1080, 6.42924e+07, 874
1090, 6.61475e+07, 883
